City_id,City,Latitude,Longitude,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Description
FR000007,Amiens,49.8941708,2.2956951,2025-06-20,27,5,3,92,6.77,04d,☁️,Couvert
FR000007,Amiens,49.8941708,2.2956951,2025-06-21,31,5,3,90,7.0,01d,☀️,Ciel dégagé (jour)
FR000007,Amiens,49.8941708,2.2956951,2025-06-22,34,4,3,65,7.0,01d,☀️,Ciel dégagé (jour)
FR000007,Amiens,49.8941708,2.2956951,2025-06-23,36,5,3,339,7.0,04d,☁️,Couvert
FR000008,Lille,50.6365654,3.0635282,2025-06-16,25,4,3,1,7.63,01d,☀️,Ciel dégagé (jour)
FR000008,Lille,50.6365654,3.0635282,2025-06-17,28,5,3,349,7.84,03d,⛅,Nuages épars
FR000008,Lille,50.6365654,3.0635282,2025-06-18,27,6,4,337,8.03,03d,⛅,Nuages épars
FR000008,Lille,50.6365654,3.0635282,2025-06-19,28,6,4,73,7.8,01d,☀️,Ciel dégagé (jour)
FR000008,Lille,50.6365654,3.0635282,2025-06-20,28,4,3,88,6.34,04d,☁️,Couvert
FR000008,Lille,50.6365654,3.0635282,2025-06-21,32,5,3,99,7.0,01d,☀️,Ciel dégagé (jour)
FR000008,Lille,50.6365654,3.0635282,2025-06-22,34,3,2,145,7.0,01d,☀️,Ciel dégagé (jour)
FR000008,Lille,50.6365654,3.0635282,2025-06-23,36,6,4,334,7.0,10d,🌦️,Pluie intermittente
FR000009,Strasbourg,48.584614,7.7507127,2025-06-16,24,4,3,38,7.71,10d,🌦️,Pluie intermittente
FR000009,Strasbourg,48.584614,7.7507127,2025-06-17,26,4,3,17,8.29,01d,☀️,Ciel dégagé (jour)
FR000009,Strasbourg,48.584614,7.7507127,2025-06-18,28,2,2,26,8.33,04d,☁️,Couvert
FR000009,Strasbourg,48.584614,7.7507127,2025-06-19,28,6,4,27,8.2,01d,☀️,Ciel dégagé (jour)
FR000009,Strasbourg,48.584614,7.7507127,2025-06-20,29,4,3,52,7.66,01d,☀️,Ciel dégagé (jour)
FR000009,Strasbourg,48.584614,7.7507127,2025-06-21,29,5,3,70,8.0,02d,🌤️,Peu nuageux (jour)
FR000009,Strasbourg,48.584614,7.7507127,2025-06-22,30,3,2,25,8.0,04d,☁️,Couvert
FR000009,Strasbourg,48.584614,7.7507127,2025-06-23,33,3,2,189,8.0,01d,☀️,Ciel dégagé (jour)
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-16,21,4,3,59,7.91,03d,⛅,Nuages épars
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-17,23,4,3,52,8.47,01d,☀️,Ciel dégagé (jour)
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-18,25,2,2,91,8.59,04d,☁️,Couvert
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-06-19,26,5,3,29,8.36,01d,☀️,Ciel dégagé (jour)
