City_id,City,City_lat,City_long,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Weather_description
FR000007,Amiens,49.8941708,2.2956951,2025-07-14,32,6,4,19,8.0,01d,☀️,Ciel dégagé
FR000007,Amiens,49.8941708,2.2956951,2025-07-15,33,7,4,312,8.0,04d,☁️,Couvert
FR000008,Lille,50.6365654,3.0635282,2025-07-08,20,6,4,338,5.99,10d,🌦️,Pluie intermittente
FR000008,Lille,50.6365654,3.0635282,2025-07-09,26,5,3,334,7.15,01d,☀️,Ciel dégagé
FR000008,Lille,50.6365654,3.0635282,2025-07-10,27,5,3,12,7.41,04d,☁️,Couvert
FR000008,Lille,50.6365654,3.0635282,2025-07-11,28,5,3,11,7.4,02d,🌤️,Peu nuageux
FR000008,Lille,50.6365654,3.0635282,2025-07-12,28,6,4,14,7.36,01d,☀️,Ciel dégagé
FR000008,Lille,50.6365654,3.0635282,2025-07-13,30,6,4,11,8.0,01d,☀️,Ciel dégagé
FR000008,Lille,50.6365654,3.0635282,2025-07-14,28,6,4,337,8.0,02d,🌤️,Peu nuageux
FR000008,Lille,50.6365654,3.0635282,2025-07-15,31,4,3,348,8.0,04d,☁️,Couvert
FR000009,Strasbourg,48.584614,7.7507127,2025-07-08,19,5,3,299,5.3,10d,🌦️,Pluie intermittente
FR000009,Strasbourg,48.584614,7.7507127,2025-07-09,25,2,2,201,7.51,03d,⛅,Nuages épars
FR000009,Strasbourg,48.584614,7.7507127,2025-07-10,27,4,3,75,7.63,01d,☀️,Ciel dégagé
FR000009,Strasbourg,48.584614,7.7507127,2025-07-11,28,5,3,46,7.68,02d,🌤️,Peu nuageux
FR000009,Strasbourg,48.584614,7.7507127,2025-07-12,29,4,3,72,7.21,01d,☀️,Ciel dégagé
FR000009,Strasbourg,48.584614,7.7507127,2025-07-13,32,3,2,12,8.0,01d,☀️,Ciel dégagé
FR000009,Strasbourg,48.584614,7.7507127,2025-07-14,30,7,4,346,8.0,04d,☁️,Couvert
FR000009,Strasbourg,48.584614,7.7507127,2025-07-15,30,5,3,34,8.0,02d,🌤️,Peu nuageux
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-08,17,4,3,287,6.11,10d,🌦️,Pluie intermittente
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-09,22,3,2,270,7.66,04d,☁️,Couvert
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-10,24,3,2,68,7.9,01d,☀️,Ciel dégagé
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-11,25,4,3,48,7.86,01d,☀️,Ciel dégagé
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-12,27,4,3,63,7.5,01d,☀️,Ciel dégagé
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-13,29,2,2,331,8.0,02d,🌤️,Peu nuageux
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-14,28,4,3,276,8.0,01d,☀️,Ciel dégagé
FR000010,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-07-15,28,4,3,332,8.0,01d,☀️,Ciel dégagé
FR000011,Colmar,48.0777517,7.3579641,2025-07-08,20,4,3,291,6.11,10d,🌦️,Pluie intermittente
FR000011,Colmar,48.0777517,7.3579641,2025-07-09,24,3,2,77,7.66,03d,⛅,Nuages épars
FR000011,Colmar,48.0777517,7.3579641,2025-07-10,27,4,3,58,7.9,01d,☀️,Ciel dégagé
FR000011,Colmar,48.0777517,7.3579641,2025-07-11,28,4,3,43,7.86,01d,☀️,Ciel dégagé
FR000011,Colmar,48.0777517,7.3579641,2025-07-12,29,3,2,70,7.5,01d,☀️,Ciel dégagé
FR000011,Colmar,48.0777517,7.3579641,2025-07-13,31,3,2,332,8.0,02d,🌤️,Peu nuageux
FR000011,Colmar,48.0777517,7.3579641,2025-07-14,31,4,3,304,8.0,10d,🌦️,Pluie intermittente
FR000011,Colmar,48.0777517,7.3579641,2025-07-15,31,4,3,325,8.0,01d,☀️,Ciel dégagé
FR000012,Eguisheim,48.0447968,7.3079618,2025-07-08,20,4,3,289,6.11,10d,🌦️,Pluie intermittente
