City_id,City,Nom,Url,Note,Adresse,Points_forts,Hotel_lat,Hotel_long
FR000001,Mont Saint Michel,Etoile des Grèves,https://www.booking.com/hotel/fr/etoile-des-greves.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"9,4","Quartier de la Rive 25 route de la Côte, 50170 Ardevon, France",[],48.615509,-1.491524
FR000001,Mont Saint Michel,Vent des Grèves,https://www.booking.com/hotel/fr/vent-des-greves-pontorson.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"9,2","Quartier de la rive ARDEVON 27 route de la Côte, 50170 Pontorson, France",[],48.615403,-1.49144
FR000001,Mont Saint Michel,Roulotte au pied du Mont Saint Michel,https://www.booking.com/hotel/fr/roulotte-au-pied-du-mont-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"9,6","28b Route de la Rive Ardevon, 50170 Pontorson, France","['L’hébergement entier est pour vous', 'Parking', 'Vue', 'Équipements de cuisine']",48.613969646033,-1.486292458336
FR000001,Mont Saint Michel,"Le Petit Moulin Rouge, B&B, SDB en-suite, parking privé gratuit",https://www.booking.com/hotel/fr/chambre-cosy-king-size-ou-jumeaux-sdb-en-suite-tout-pres-du-mont-saint-beauvoir.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"9,6","28 Rue d'Asteriac, 50170 Beauvoir, France",[],48.5963383,-1.5055117
FR000001,Mont Saint Michel,gites 2 beauvoir,https://www.booking.com/hotel/fr/gites-2-beauvoir.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"8,7","8 Rue au Bis, 50170 Beauvoir, France",[],48.5976913,-1.5047171
FR000001,Mont Saint Michel,Maison au pied du Mont Saint Michel,https://www.booking.com/hotel/fr/maison-au-pied-du-mont-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"9,3","15 Route de la Rive Ardevon, 50170 Pontorson, France","['L’hébergement entier est pour vous', 'Parking', 'Animaux admis', 'Vue', 'Équipements de cuisine']",48.612673580235,-1.485530645404
FR000001,Mont Saint Michel,La Jacotière,https://www.booking.com/hotel/fr/la-jacotia-re.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"9,2","""La Jacotiere"" , 50170 Ardevon, France","['Parking', 'Petit-déjeuner disponible', 'Vue', 'Équipements de cuisine']",48.61411436123917,-1.5043142437934875
FR000001,Mont Saint Michel,Mon Saint Michel,https://www.booking.com/hotel/fr/mon-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"8,8","28 route de la Rive, 50170 Ardevon, France",[],48.613627,-1.485791
FR000001,Mont Saint Michel,A l ombre du Mont Saint Michel,https://www.booking.com/hotel/fr/a-l-ombre-du-mont-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,e 10,"7 Rue du Pont Landais, 50170 Huisnes-sur-Mer, France","['Parking', 'Petit-déjeuner disponible', 'Vue', 'Équipements de cuisine']",48.6156258,-1.4651207
FR000001,Mont Saint Michel,La Greve Saint Michel,https://www.booking.com/hotel/fr/la-greve-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBF8gBDNgBAegBAfgBA4gCAagCA7gCm9eAvwbAAgHSAiQwMzMwNzA4Mi0zOWZiLTQxNmItOTA4OC1kZTcwZWE3Mzc2N2LYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=review_score%3D80&srpvid=56a06e4db3c80481&srepoch=1742744476&from=searchresults,"8,9","3 Rue d'Asteriac, 50170 Beauvoir, France",[],48.59775819179439,-1.5122842246063328
